,Temp,Precip,flow
1997-03-28 00:00:00+00:00,60.665,0.0,199.0
1997-03-29 00:00:00+00:00,57.49875,0.0,185.0
1997-03-30 00:00:00+00:00,61.33095238095238,0.0,178.0
1997-03-31 00:00:00+00:00,63.124375,0.0,179.0
1997-04-01 00:00:00+00:00,61.998333333333335,0.0,165.0
1997-04-02 00:00:00+00:00,46.83375,0.0,179.0
1997-04-03 00:00:00+00:00,43.20583333333334,0.0,251.0
1997-04-04 00:00:00+00:00,41.79458333333333,0.0,309.0
1997-04-05 00:00:00+00:00,47.083333333333336,0.0,325.0
1997-04-06 00:00:00+00:00,51.91173913043478,0.0,363.0
1997-04-07 00:00:00+00:00,53.95791666666667,0.0,559.0
1997-04-08 00:00:00+00:00,57.83291666666667,0.0,1430.0
1997-04-09 00:00:00+00:00,60.54333333333333,0.0,2100.0
1997-04-10 00:00:00+00:00,51.125,0.0,2590.0
1997-04-11 00:00:00+00:00,53.66166666666667,0.0,1600.0
1997-04-12 00:00:00+00:00,51.35642857142857,0.0,946.0
1997-04-13 00:00:00+00:00,51.72863636363636,0.0,632.0
1997-04-14 00:00:00+00:00,55.80904761904762,0.0,474.0
1997-04-15 00:00:00+00:00,60.290416666666665,0.0,378.0
1997-04-16 00:00:00+00:00,62.89421052631579,0.0,299.0
1997-04-17 00:00:00+00:00,65.06666666666668,0.0,244.0
1997-04-18 00:00:00+00:00,64.60888888888888,0.0,223.0
1997-04-19 00:00:00+00:00,66.54208333333334,0.0,201.0
1997-04-20 00:00:00+00:00,79.1,0.0,171.0
1997-04-21 00:00:00+00:00,71.37416666666667,0.0,161.0
1997-04-22 00:00:00+00:00,70.95666666666666,0.0,146.0
1997-04-23 00:00:00+00:00,66.24833333333333,0.0,146.0
1997-04-24 00:00:00+00:00,60.79157894736842,0.0,147.0
1997-04-25 00:00:00+00:00,55.953478260869566,0.0,145.0
1997-04-26 00:00:00+00:00,58.33541666666667,0.0,148.0
1997-04-27 00:00:00+00:00,64.8190909090909,0.0,141.0
1997-04-28 00:00:00+00:00,73.45363636363636,0.0,137.0
1997-04-29 00:00:00+00:00,70.79166666666667,0.0,127.0
1997-04-30 00:00:00+00:00,70.20833333333333,0.0,120.0
1997-05-01 00:00:00+00:00,70.99909090909091,0.0,121.0
1997-05-02 00:00:00+00:00,62.87083333333334,0.0,113.0
1997-05-03 00:00:00+00:00,68.0025,0.0,110.0
1997-05-04 00:00:00+00:00,73.29125,0.0,113.0
1997-05-05 00:00:00+00:00,74.00058823529412,0.0,107.0
1997-05-06 00:00:00+00:00,74.45666666666666,0.0,102.0
1997-05-07 00:00:00+00:00,73.24833333333333,0.0,81.0
1997-05-08 00:00:00+00:00,73.04208333333334,0.0,76.0
1997-05-09 00:00:00+00:00,71.16791666666667,0.0,81.0
1997-05-10 00:00:00+00:00,72.54083333333334,0.0,89.0
1997-05-11 00:00:00+00:00,69.20791666666666,0.0,98.0
1997-05-12 00:00:00+00:00,68.47285714285715,0.0,97.0
1997-05-13 00:00:00+00:00,71.30199999999999,0.0,106.0
1997-05-14 00:00:00+00:00,79.15076923076923,0.0,92.0
1997-05-15 00:00:00+00:00,71.9047619047619,0.0,81.0
1997-05-16 00:00:00+00:00,78.04608695652173,0.0,80.0
